"age","income","gender","web_visits","purchased"
48,3336.86510752887,0,7,0
32,9478.29342563637,1,18,0
68,4210.9297439456,1,25,0
31,1951.74058596604,1,43,0
20,4521.76586934365,0,6,1
59,4970.45345231891,0,4,0
67,8760.52244543098,1,17,0
60,5507.1053057909,1,43,0
54,2955.62436501496,0,5,0
69,4425.96585000865,0,31,1
31,9548.57816686854,1,28,0
42,2729.60107796825,0,0,0
43,4889.76689707488,1,33,0
44,5888.39849387296,1,5,1
22,3310.0414017681,0,7,0
68,5170.66169087775,0,39,1
44,3155.50647838973,0,27,1
45,5955.37020405754,1,9,0
26,6171.42716096714,0,37,0
46,8387.56819069386,1,7,0
52,9637.93895673007,1,15,1
25,8890.33380546607,1,3,0
43,4701.49450958706,0,47,1
24,7634.1427275911,1,3,0
59,5156.85919625685,0,23,0
26,7278.88814173639,0,39,0
36,6231.179978,1,15,0
53,5119.22462913208,0,16,0
31,5727.52599883825,1,1,1
34,3387.82206643373,0,1,0
60,3062.30804673396,1,10,0
56,6641.56270562671,1,10,0
70,8546.45475093275,1,37,0
29,2706.92558446899,1,26,0
32,1983.25389320962,1,21,0
49,4470.32133722678,1,49,0
59,2471.70899249613,0,3,1
62,8866.08431627974,1,21,0
24,4050.21779797971,1,27,0
26,5337.34055235982,1,36,1
58,4513.03257583641,0,22,0
27,3585.83333063871,1,9,0
40,8686.73153524287,0,36,1
44,3461.12337708473,1,33,0
70,3399.60598712787,0,32,0
24,7460.47551929951,0,5,1
70,4863.57549275272,1,32,0
44,8664.91008014418,0,50,0
49,4328.19112972356,0,32,0
55,7153.61637226306,1,43,1
42,9510.67152316682,1,27,0
51,8576.24798058532,1,8,0
46,9336.75643266179,1,28,1
22,7631.68473239057,1,4,0
25,2304.42973738536,1,25,0
29,5078.75370769762,1,18,1
30,7018.91379244626,0,12,1
35,5177.58030234836,1,3,0
50,1875.52844989114,0,4,1
44,3922.74494492449,1,44,1
42,2831.78286044858,1,39,0
55,9414.30413071066,1,6,1
38,3523.72856624424,0,6,0
32,2230.97189050168,1,46,1
58,2785.72112158872,1,18,0
64,7429.47502317838,1,12,0
43,6313.66734532639,1,43,0
48,6787.5165278092,1,49,0
33,4393.62820982933,1,28,1
